date,year,month,decimal_year,toa_net_flux_w_m2,EEI
2018-07-01,2018,7,2018.541667,-8.540000,0.781818
2018-08-01,2018,8,2018.625000,-4.800000,0.580606
2018-09-01,2018,9,2018.708333,0.420000,0.475758
2018-10-01,2018,10,2018.791667,2.980000,0.501212
2018-11-01,2018,11,2018.875000,5.120000,0.651515
2018-12-01,2018,12,2018.958333,7.470000,0.910152
2019-01-01,2019,1,2019.041667,8.660000,1.168030
2019-02-01,2019,2,2019.125000,9.450000,1.386061
2019-03-01,2019,3,2019.208333,7.350000,1.509394
2019-04-01,2019,4,2019.291667,2.190000,1.518939
2019-05-01,2019,5,2019.375000,-4.410000,1.393333
2019-06-01,2019,6,2019.458333,-8.400000,1.172121
2019-07-01,2019,7,2019.541667,-8.170000,0.929394
2019-08-01,2019,8,2019.625000,-4.970000,0.726061
2019-09-01,2019,9,2019.708333,0.020000,0.619545
2019-10-01,2019,10,2019.791667,3.490000,0.636061
2019-11-01,2019,11,2019.875000,4.750000,0.773182
2019-12-01,2019,12,2019.958333,6.250000,1.012879
2020-01-01,2020,1,2020.041667,8.180000,1.278939
2020-02-01,2020,2,2020.125000,8.410000,1.470152
2020-03-01,2020,3,2020.208333,7.020000,1.579242
2020-04-01,2020,4,2020.291667,2.400000,1.581818
2020-05-01,2020,5,2020.375000,-4.740000,1.447879
2020-06-01,2020,6,2020.458333,-8.880000,1.224697
2020-07-01,2020,7,2020.541667,-8.430000,0.984697
2020-08-01,2020,8,2020.625000,-4.200000,0.781515
2020-09-01,2020,9,2020.708333,-0.700000,0.663333
2020-10-01,2020,10,2020.791667,1.430000,0.649848
2020-11-01,2020,11,2020.875000,3.020000,0.760758
2020-12-01,2020,12,2020.958333,5.290000,0.975758
2021-01-01,2021,1,2021.041667,8.170000,1.221515
2021-02-01,2021,2,2021.125000,8.890000,1.420000
2021-03-01,2021,3,2021.208333,7.690000,1.533333
2021-04-01,2021,4,2021.291667,2.960000,1.543485
2021-05-01,2021,5,2021.375000,-4.370000,1.418182
2021-06-01,2021,6,2021.458333,-7.290000,1.215000
2021-07-01,2021,7,2021.541667,-8.020000,0.972273
2021-08-01,2021,8,2021.625000,-4.130000,0.798939
2021-09-01,2021,9,2021.708333,0.410000,0.709394
2021-10-01,2021,10,2021.791667,2.560000,0.725758
2021-11-01,2021,11,2021.875000,5.000000,0.875606
2021-12-01,2021,12,2021.958333,6.250000,1.084394
2022-01-01,2022,1,2022.041667,9.250000,1.348636
2022-02-01,2022,2,2022.125000,9.440000,1.561970
2022-03-01,2022,3,2022.208333,7.380000,1.677424
2022-04-01,2022,4,2022.291667,1.790000,1.673636
2022-05-01,2022,5,2022.375000,-5.280000,1.520606
2022-06-01,2022,6,2022.458333,-7.390000,1.304545
2022-07-01,2022,7,2022.541667,-8.660000,1.032727
2022-08-01,2022,8,2022.625000,-3.860000,0.827121
2022-09-01,2022,9,2022.708333,0.240000,0.720909
2022-10-01,2022,10,2022.791667,2.740000,0.733182
2022-11-01,2022,11,2022.875000,4.660000,0.882727
2022-12-01,2022,12,2022.958333,7.690000,1.127121
2023-01-01,2023,1,2023.041667,9.560000,1.394697
2023-02-01,2023,2,2023.125000,10.010000,1.623182
2023-03-01,2023,3,2023.208333,8.300000,1.764697
2023-04-01,2023,4,2023.291667,3.910000,1.803333
2023-05-01,2023,5,2023.375000,-3.310000,1.692424
2023-06-01,2023,6,2023.458333,-7.950000,1.485606
2023-07-01,2023,7,2023.541667,-7.990000,1.230455
2023-08-01,2023,8,2023.625000,-4.070000,1.030000
2023-09-01,2023,9,2023.708333,0.130000,0.930303
2023-10-01,2023,10,2023.791667,2.230000,0.918788
2023-11-01,2023,11,2023.875000,4.490000,1.053636
2023-12-01,2023,12,2023.958333,6.770000,1.300909
2024-01-01,2024,1,2024.041667,8.000000,1.551515
2024-02-01,2024,2,2024.125000,8.740000,1.756667
2024-03-01,2024,3,2024.208333,6.710000,1.851970
2024-04-01,2024,4,2024.291667,2.280000,1.841364
2024-05-01,2024,5,2024.375000,-5.890000,1.674545
2024-06-01,2024,6,2024.458333,-8.870000,1.426970
2024-07-01,2024,7,2024.541667,-8.770000,1.162879
2024-08-01,2024,8,2024.625000,-4.570000,0.950455
2024-09-01,2024,9,2024.708333,-0.360000,0.833636
2024-10-01,2024,10,2024.791667,2.450000,0.837576
2024-11-01,2024,11,2024.875000,4.210000,0.968182
2024-12-01,2024,12,2024.958333,5.890000,1.184697
2025-01-01,2025,1,2025.041667,9.710000,1.455606
2025-02-01,2025,2,2025.125000,9.000000,1.667273
2025-03-01,2025,3,2025.208333,7.360000,1.778485
2025-04-01,2025,4,2025.291667,1.980000,1.755606
2025-05-01,2025,5,2025.375000,-5.020000,1.607576
2025-06-01,2025,6,2025.458333,-8.930000,1.377576
2025-07-01,2025,7,2025.541667,-7.910000,1.133788
2025-08-01,2025,8,2025.625000,-3.740000,0.949697
2025-09-01,2025,9,2025.708333,0.360000,0.848788
2025-10-01,2025,10,2025.791667,2.280000,0.846970
2025-11-01,2025,11,2025.875000,4.660000,0.989394
2025-12-01,2025,12,2025.958333,8.010000,1.245303
2026-01-01,2026,1,2026.041667,9.780000,1.521212
